Module	Task	Sec
Import rainbio	Correcting raw data: Creating integer Y, M, D columns	14.57
Import rainbio	Correcting raw data: Correcting collection dates	81.60
Import rainbio	Correcting raw data: Correcting identification dates	99.87
Import rainbio	Creating staging tables	1.38
Import rainbio	Loading staging tables: datasource_staging	.09
Import rainbio	Loading staging tables: vfoi_staging	13.80
Import rainbio	Loading main tables from staging: datasource	.46
Import rainbio	Loading main tables from staging: plot_metadata	.11
Import rainbio	Loading main tables from staging: view_full_occurrence_individual: Inserting records	14.09
Import rainbio	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	177.85
Import rainbio	Loading main tables from staging: view_full_occurrence_individual: Dropping temporary foreign key column fk_vfoi_staging_id	0
Import schep	Creating raw data tables: Generic	.24
Import schep	Creating raw data tables: Source-specific	.16
Import schep	Importing raw data to table: 'Schp_PLOTDB_CompleteAndClean_utf8.csv' --> schep_plotdb_raw	.18
Import schep	Importing raw data to table: 'Schp_TREEDB_CompleteAndClean_utf8.csv' --> schep_tree_db_raw	.21
Import schep	Importing raw data to table: 'datasource_metadata.csv' --> datasource_raw	.11
Import schep	Correcting raw data: Adding columns to harmonize table schemas	.09
Import schep	Correcting raw data: Setting empty strings to null: schep_plotdb_raw	.12
Import schep	Correcting raw data: Setting empty strings to null: schep_tree_db_raw	.11
Import schep	Creating staging tables	.24
Import schep	Loading staging tables: datasource_staging	.08
Import schep	Loading staging tables: vfoi_staging from table: schep_plotdb_raw	.66
Import schep	Loading staging tables: vfoi_staging from table: schep_tree_db_raw	.56
Import schep	Loading main tables from staging: datasource	.20
Import schep	Loading main tables from staging: plot_metadata	.13
Import schep	Loading main tables from staging: view_full_occurrence_individual: Inserting records	2.11
Import schep	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	141.43
Import schep	Loading main tables from staging: view_full_occurrence_individual: Dropping temporary foreign key column fk_vfoi_staging_id	0
Import GBIF	Creating raw data tables: Generic	.22
Import GBIF	Creating raw data tables: Source-specific	.11
Import GBIF	Importing raw data to table: 'occurrence_cleaned.txt' --> gbif_occurrence_raw: Importing data	8855.43
Import GBIF	Importing raw data to table: 'occurrence_cleaned.txt' --> gbif_occurrence_raw: Removing header	2701.20
Import GBIF	Altering raw data table structure	.13
Import GBIF	Processing dates: Populating integer Y, M, D columns	31573.70
Import GBIF	Processing dates: Correcting dates from column "eventDate"	164477.23
Import GBIF	Processing dates: Correcting dates from column "dateIdentified"	221834.20
Import GBIF	Indexing raw data	321420.16
Import GBIF	Creating staging tables	2.14
Import GBIF	Loading staging tables: vfoi_staging	23135.96
Import GBIF	Loading staging tables: datasource_staging	410.16
Import GBIF	Populating FK to datasource_staging	151510.25
Import GBIF	Dropping raw data indexes	15.55
Import GBIF	Loading main tables from staging: datasource	1.07
Import GBIF	Loading main tables from staging: plot_metadata	.41
Import GBIF	Loading main tables from staging: view_full_occurrence_individual: Inserting records	7831.52
