Module	Task	Sec
Import ntt	Creating staging tables	.30
Import ntt	Loading staging tables: datasource_staging	.09
Import ntt	Loading staging tables: vfoi_staging	22.99
Import ntt	Loading main tables from staging: datasource	.25
Import ntt	Loading main tables from staging: plot_metadata	.19
Import ntt	Loading main tables from staging: view_full_occurrence_individual: Inserting records	51.59
Import ntt	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	203.52
Import rainbio	Creating raw data tables: Generic	.26
Import rainbio	Creating raw data tables: Source-specific	.11
Import rainbio	Importing raw data to table: 'extract_to_be_sent_SPARC.csv' --> rainbio_raw	17.20
Import rainbio	Importing raw data to table: 'datasource_metadata.csv' --> datasource_raw	.09
Import rainbio	Correcting raw data: Setting empty strings to null	15.67
Import rainbio	Correcting raw data: Creating integer Y, M, D columns	15.36
Import rainbio	Correcting raw data: Correcting collection dates	90.02
Import rainbio	Correcting raw data: Correcting identification dates	107.51
Import rainbio	Creating staging tables	1.70
Import rainbio	Loading staging tables: datasource_staging	.09
Import rainbio	Loading staging tables: vfoi_staging	14.62
Import rainbio	Loading main tables from staging: datasource	.25
Import rainbio	Loading main tables from staging: plot_metadata	.20
Import rainbio	Loading main tables from staging: view_full_occurrence_individual: Inserting records	16.66
Import rainbio	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	184.23
Import schep	Creating raw data tables: Generic	.23
Import schep	Creating raw data tables: Source-specific	.09
Import schep	Importing raw data to table: 'Schp_PLOTDB_CompleteAndClean_utf8.csv' --> schep_plotdb_raw	.11
Import schep	Importing raw data to table: 'Schp_TREEDB_CompleteAndClean_utf8.csv' --> schep_tree_db_raw	.11
Import schep	Importing raw data to table: 'datasource_metadata.csv' --> datasource_raw	.08
Import schep	Correcting raw data: Adding columns to harmonize table schemas	.09
Import schep	Correcting raw data: Setting empty strings to null: schep_plotdb_raw	.11
Import schep	Correcting raw data: Setting empty strings to null: schep_tree_db_raw	.12
Import schep	Creating staging tables	.44
Import schep	Loading staging tables: datasource_staging	.08
Import schep	Loading staging tables: vfoi_staging from table: schep_plotdb_raw	.64
Import schep	Loading staging tables: vfoi_staging from table: schep_tree_db_raw	.54
Import schep	Loading main tables from staging: datasource	.25
Import schep	Loading main tables from staging: plot_metadata	.16
Import schep	Loading main tables from staging: view_full_occurrence_individual: Inserting records	2.32
Import schep	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	166.96
Import GBIF	Creating raw data tables: Generic	.27
Import GBIF	Creating raw data tables: Source-specific	.10
Import GBIF	Importing raw data to table: 'occurrence_cleaned.txt' --> gbif_occurrence_raw: Importing data	9463.97
Import GBIF	Importing raw data to table: 'occurrence_cleaned.txt' --> gbif_occurrence_raw: Removing header	4010.61
Import GBIF	Altering raw data table structure	.14
Import GBIF	Processing dates: Populating integer Y, M, D columns	31071.55
Import GBIF	Processing dates: Correcting dates from column "eventDate"	185420.26
Import GBIF	Processing dates: Correcting dates from column "dateIdentified"	243903.40
Import GBIF	Indexing raw data	436328.50
Import GBIF	Creating staging tables	2.14
Import GBIF	Loading staging tables: vfoi_staging	30161.93
Import GBIF	Loading staging tables: datasource_staging	437.88
Import GBIF	Populating FK to datasource_staging	153201.80
Import GBIF	Dropping raw data indexes	95.84
Import GBIF	Loading main tables from staging: datasource	1.26
Import GBIF	Loading main tables from staging: plot_metadata	.29
Import GBIF	Loading main tables from staging: view_full_occurrence_individual: Inserting records	10321.15
Import GBIF	Loading main tables from staging: view_full_occurrence_individual: Indexing foreign keys	10863.94
Import GBIF	Loading main tables from staging: view_full_occurrence_individual: Dropping staging table fkey from table vfoi	4.87
datasource_2_export	Exporting CSV dump of table datasource for manual editing	445.05
endangered_taxa_1_prepare	Creating tables	.96
endangered_taxa_1_prepare	Importing data for 'cites', 'iucn', 'usda'	1.99
endangered_taxa_1_prepare	Combining endangered taxon data into single table	.45
tnrs	Creating TNRS tables	.33
tnrs	Extracting verbatim names: view_full_occurrence_individual	686.77
tnrs	Extracting verbatim names: agg_traits	41.61
tnrs	Extracting verbatim names: endangered_taxa	.19
tnrs	Pre-processing names	156.98
tnrs	Extracting unique names and adding ID column	45.71
tnrs	Exporting names file '/home/bien/tnrs/data/user/tnrs_submitted.csv'	1.56
tnrs	Deleting offending names from CSV	25.67
gnrs_1_prepare	Dropping existing indexes on table: view_full_occurrence_individual	8.77
gnrs_1_prepare	Dropping existing indexes on table: agg_traits	.11
gnrs_1_prepare	Populating FK poldivs_full in table: vfoi	15805.01
gnrs_1_prepare	Populating FK poldivs_full in table: agg_traits	2113.10
gnrs_1_prepare	Populating FK poldivs_full in table: ih	1.03
gnrs_1_prepare	Extracting all political divisions to table poldivs	2781.56
gnrs_1_prepare	Exporting CSV file of political divisions for scrubbing by GNRS	.98
cds_1_prepare	Dropping existing indexes on table: view_full_occurrence_individual	.31
cds_1_prepare	Dropping existing indexes on table: agg_traits	.11
cds_1_prepare	Extracting all verbatim geocoordinate to table cds_submitted	2952.28
cds_1_prepare	Exporting CSV file of political divisions for scrubbing by CDS	12.69
